OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1309,0,0,0,0,NA,NA
OTU_131,1.369863014,0.002552257,0,0,-2.593075596,NA
OTU_1310,0,0,84.90566038,0.057372341,NA,-1.241297428
OTU_1312,9.589041096,0.034992874,20.75471698,0.035324189,-1.456020387,-1.451927802
OTU_1313,2.739726027,0.006225418,75.47169811,0.027219121,-2.205831483,-1.565125901
OTU_1315,0,0,96.22641509,0.059316742,NA,-1.226822713
OTU_1316,5.479452055,0.199619347,5.660377358,0.003184868,-0.699797369,-2.496908517
OTU_1317,5.479452055,1.096231945,0,0,0.039902453,NA
OTU_1319,0,0,71.69811321,0.086834072,NA,-1.061309833
OTU_132,0,0,13.20754717,0.004534745,NA,-2.343447102
OTU_1321,0,0,5.660377358,0.004865566,NA,-2.312866662
OTU_1322,0,0,77.35849057,0.04467492,NA,-1.349936215
OTU_1323,1.369863014,0.001686312,83.01886792,0.050250942,-2.773062069,-1.298855796
OTU_1324,0,0,22.64150943,0.015160259,NA,-1.819293379
OTU_1325,0,0,77.35849057,0.104189666,NA,-0.982175356
OTU_1326,0,0,90.56603774,0.033517963,NA,-1.474722384
OTU_1328,0,0,69.81132075,0.021131759,NA,-1.675064355
OTU_1329,1.369863014,0.004415791,98.11320755,0.106566519,-2.35499149,-0.97237922
OTU_133,56.16438356,0.509868935,7.547169811,0.004263401,-0.292541448,-2.370243792
OTU_1330,0,0,45.28301887,0.022388639,NA,-1.649972315
OTU_1331,0,0,98.11320755,0.108513191,NA,-0.964517467
OTU_1333,0,0,92.45283019,0.064879568,NA,-1.187892052
OTU_1334,0,0,83.01886792,0.034231114,NA,-1.465578963
OTU_1335,0,0,90.56603774,0.052907971,NA,-1.276478896
OTU_1336,5.479452055,0.036314291,22.64150943,0.009307949,-1.439922434,-2.031146001
OTU_1337,0,0,71.69811321,0.076624918,NA,-1.115629976
OTU_1338,0,0,37.73584906,0.008849825,NA,-2.05306531
OTU_134,28.76712329,0.611947847,28.30188679,0.007041997,-0.213285589,-2.152304164
OTU_1341,0,0,52.83018868,0.019578961,NA,-1.708210369
OTU_1342,0,0,77.35849057,0.026704374,NA,-1.573417596
OTU_1343,0,0,0,0,NA,NA
OTU_1344,2.739726027,0.066895655,1.886792453,0.005599183,-1.17460209,-2.251875338
OTU_1345,28.76712329,0.425965553,22.64150943,0.032896144,-0.37062552,-1.482855007
OTU_1346,0,0,90.56603774,0.036880257,NA,-1.433206058
OTU_1347,13.69863014,0.045580238,3.773584906,0.00552973,-1.341223412,-2.257296113
OTU_1348,0,0,86.79245283,0.061834983,NA,-1.208765755
OTU_135,42.46575342,0.094203511,15.09433962,0.004896273,-1.025932911,-2.310134386
OTU_1350,4.109589041,0.019274138,92.45283019,0.049193681,-1.715025043,-1.308090678
